People in hospital with COVID-19 (UK),,,,,,,,,,
With illness related to Covid-19,,,,,,,,,,
United Kingdom,,,,,,,,,,
,,,,,,,,,,Number of people
"(Source: NHSE, Welsh Government, Scotland Government, Northern Ireland Executive)",,,,,,,,,,
(Data are for NHS Hospital Acute Trusts with a type 1 A&E in England),,,,,,,,,,
(Fluctuations in the North West have been driven by data validation changes and missing trusts returning data (creating artificial spikes in reporting).),,,,,,,,,,
"(Nine hospitals, including London Nightingale did not return data for April 9, resulting in a misrepresented drop in hospitalisations.)",,,,,,,,,,
(Confidence: a new categorisation has been added to an existing high quality administrative data set),,,,,,,,,,
(National data may not be directly comparable as data about COVID-19 patients in hospitals is collected differently across nations.),,,,,,,,,,
(Community hospitals are included in figures for Wales from 23 April onwards.),,,,,,,,,,
(England and Scotland data includes confirmed COVID-19 cases; Wales and Northern Ireland data includes confirmed and suspected COVID-19 cases.),,,,,,,,,,
"(Due to the way Northern Ireland report, the UK figure is calculated by taking the most recent day for Great Britain plus the previous day for Northern Ireland.)",,,,,,,,,,
"(From 22nd May, a change in reporting resulted in some patients in Wales being reclassified as COVID patients. Prior to this date, some COVID positive patients who had been in hospital for 14 days and recovered were reported as non COVID patients.)",,,,,,,,,,
(Northern Ireland data were revised on 30 May to reflect a methodology change for calculating the number of COVID inpatients.),,,,,,,,,,
(From 22 June Northern Ireland data was not available.),,,,,,,,,,
